library_id	tissue
liposarcoma_sw872_si_3603	adipose
bodymap2_adipose_75bp_sr	adipose
bodymap2_adipose_50bp_pe	adipose
adrenal_nci_h295a_si_3634	adrenal_gland
adrenal_sw13_si_3546	adrenal_gland
adrenal_adr11_si_3792	adrenal_gland
adrenal_adr13_si_3791	adrenal_gland
adrenal_adr16_si_4091	adrenal_gland
adrenal_adr18_si_4090	adrenal_gland
adrenal_adr34_si_4089	adrenal_gland
adrenal_adr35_si_4088	adrenal_gland
bodymap2_adrenal_gland_75bp_sr	adrenal_gland
bodymap2_adrenal_gland_50bp_pe	adrenal_gland
bile_duct_egi1_si_3837	bile_duct
bile_duct_tfk1_si_3842	bile_duct
chca_1001_origene_cr559153_si_5001	bile_duct
chca_1002_origene_cr560850_si_5002	bile_duct
chca_1003_origene_cr562253_si_5003	bile_duct
chca_11_1325_si_5353	bile_duct
chca_12_791_si_5352	bile_duct
bladder_sw780_si_3586	bladder
5ddb876d-dd32-4f33-89d1-d95e460e1e60	bladder
6c390573-7472-441d-956b-9f4747a18f2b	bladder
ea9d4bd8-1f4e-4ad5-81f7-803b078f2603	bladder
68b08ead-5e38-490f-8654-b3db19c80fca	bladder
22e154de-0e3b-443b-8420-48d68d6c1ce4	bladder
9a7e2ecf-3470-427e-93cd-8461a3a3a5b8	bladder
41836f0e-f807-4afa-ae39-c0eb16fa6b54	bladder
bb0c2732-5fb4-44e7-bc62-a645cf1c1a56	bladder
f154cc00-e118-4d4c-b9d2-2f1f71e0a964	bladder
429f0e9d-c160-4b36-a31b-dab1097c6129	bladder
ad2ee4b7-ec51-4076-bc5b-6601b5abeecb	bladder
2f3c17f6-be91-4195-9aa7-e02298d118f3	bladder
325c6503-12a1-4985-99a0-b968850f9d92	bladder
80cdd385-2a6a-4d59-81c7-f36786637323	bladder
61a9951d-6005-4d5a-a7ac-1146399de61c	bladder
4000adba-115e-40bf-afbb-35ad20c4e416	bladder
80b2573f-d8e0-4d0d-84a6-301c5103267d	bladder
61b0add8-ad93-4f2a-a95b-fa257934962f	bladder
bf1d6946-63b3-48ca-add1-1c5ec5cafd22	bladder
029cb0c8-9a67-4af0-9137-a5fbe08fce20	bladder
