library_id	sample_type	tissue_type	cancer_progression
1	tissue	prostate	cancer
2	tissue	prostate	cancer
3	tissue	prostate	cancer
4	tissue	prostate	cancer
5	tissue	prostate	cancer
6	tissue	prostate	normal
7	tissue	prostate	normal
8	tissue	prostate	normal
9	tissue	prostate	normal
10	tissue	prostate	normal
11	tissue	breast	cancer
12	tissue	breast	cancer
13	tissue	breast	cancer
14	tissue	breast	cancer
15	tissue	breast	cancer
16	tissue	breast	normal
17	tissue	breast	normal
18	tissue	breast	normal
19	tissue	breast	normal
20	tissue	breast	normal
21	tissue	lung	cancer
22	tissue	lung	cancer
23	tissue	lung	cancer
24	tissue	lung	cancer
25	tissue	lung	cancer
26	tissue	lung	normal
27	tissue	lung	normal
28	tissue	lung	normal
29	tissue	lung	normal
30	tissue	lung	normal
31	cell_line	prostate	cell_line
32	cell_line	prostate	cell_line
33	cell_line	prostate	cell_line
34	cell_line	prostate	cell_line
35	cell_line	prostate	cell_line
36	cell_line	breast	cell_line
37	cell_line	breast	cell_line
38	cell_line	breast	cell_line
39	cell_line	breast	cell_line
40	cell_line	breast	cell_line
41	cell_line	lung	cell_line
42	cell_line	lung	cell_line
43	cell_line	lung	cell_line
44	cell_line	lung	cell_line
45	cell_line	lung	cell_line
